r, Channel 1, Channel 2
4.56, -0.0682422, -0.0150391
4.57, -0.0668137, -0.014864
4.58, -0.0653301, -0.0146766
4.59, -0.0637927, -0.0144771
4.6, -0.0622028, -0.0142658
4.61, -0.0605617, -0.0140427
4.62, -0.0588707, -0.0138081
4.63, -0.0571312, -0.013562
4.64, -0.0553445, -0.0133048
4.65, -0.0535122, -0.0130366
4.66, -0.0516357, -0.0127577
4.67, -0.0497164, -0.0124682
4.68, -0.0477559, -0.0121683
4.69, -0.0457558, -0.0118584
4.7, -0.0437176, -0.0115386
4.71, -0.0416429, -0.0112092
4.72, -0.0395333, -0.0108704
4.73, -0.0373905, -0.0105225
4.74, -0.0352161, -0.0101658
4.75, -0.0330118, -0.00980049
4.76, -0.0307793, -0.00942691
4.77, -0.0285203, -0.00904532
4.78, -0.0262365, -0.008656
4.79, -0.0239297, -0.00825924
4.8, -0.0216017, -0.00785535
4.81, -0.0192541, -0.00744463
4.82, -0.0168888, -0.00702737
4.83, -0.0145074, -0.00660389
4.84, -0.0121119, -0.00617451
4.85, -0.00970403, -0.00573953
4.86, -0.00728552, -0.00529928
4.87, -0.00485819, -0.00485409
4.88, -0.00242385, -0.00440427
4.89, 1.57078e-05, -0.00395016
4.9, 0.00245869, -0.00349209
4.91, 0.00490329, -0.00303039
4.92, 0.00734774, -0.0025654
4.93, 0.00979023, -0.00209745
4.94, 0.012229, -0.00162688
4.95, 0.0146623, -0.00115404
4.96, 0.0170883, -0.000679261
4.97, 0.0195053, -0.000202885
4.98, 0.0219115, 0.000274745
4.99, 0.0243052, 0.000753288
5, 0.0266848, 0.0012324
5.01, 0.0290484, 0.00171174
5.02, 0.0313944, 0.00219097
5.03, 0.0337212, 0.00266974
5.04, 0.036027, 0.00314772
5.05, 0.0383103, 0.00362456
5.06, 0.0405694, 0.00409994
5.07, 0.0428027, 0.00457351
5.08, 0.0450086, 0.00504494
5.09, 0.0471857, 0.0055139
5.1, 0.0493323, 0.00598006
5.11, 0.0514471, 0.00644308
5.12, 0.0535283, 0.00690266
5.13, 0.0555748, 0.00735845
5.14, 0.0575849, 0.00781016
5.15, 0.0595574, 0.00825745
5.16, 0.0614908, 0.00870001
5.17, 0.0633837, 0.00913755
5.18, 0.065235, 0.00956975
5.19, 0.0670433, 0.00999631
5.2, 0.0688073, 0.0104169
5.21, 0.0705259, 0.0108313
5.22, 0.0721979, 0.0112392
5.23, 0.073822, 0.0116403
5.24, 0.0753972, 0.0120343
5.25, 0.0769225, 0.0124209
5.26, 0.0783967, 0.0128
5.27, 0.0798188, 0.0131711
5.28, 0.081188, 0.0135341
5.29, 0.0825031, 0.0138888
5.3, 0.0837634, 0.0142347
5.31, 0.0849679, 0.0145718
5.32, 0.0861159, 0.0148998
5.33, 0.0872066, 0.0152184
5.34, 0.0882391, 0.0155275
5.35, 0.0892128, 0.0158268
5.36, 0.090127, 0.0161161
5.37, 0.0909811, 0.0163952
5.38, 0.0917744, 0.0166639
5.39, 0.0925065, 0.016922
5.4, 0.0931767, 0.0171694
5.41, 0.0937847, 0.0174058
5.42, 0.09433, 0.0176311
5.43, 0.0948122, 0.0178451
5.44, 0.0952309, 0.0180478
5.45, 0.0955858, 0.0182388
5.46, 0.0958767, 0.0184181
5.47, 0.0961033, 0.0185856
5.48, 0.0962653, 0.0187411
