r, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5
44.96, -0.595407, 0.0629177, -0.16909, -0.601921, -0.0947256
44.97, -0.598706, 0.0563798, -0.174651, -0.605284, -0.0951273
44.98, -0.601928, 0.049836, -0.180188, -0.608566, -0.0955163
44.99, -0.605072, 0.0432872, -0.1857, -0.611766, -0.0958927
45, -0.608136, 0.0367343, -0.191188, -0.614886, -0.0962564
45.01, -0.611122, 0.0301783, -0.196649, -0.617924, -0.0966074
45.02, -0.614028, 0.02362, -0.202083, -0.620879, -0.0969455
45.03, -0.616854, 0.0170603, -0.207489, -0.623752, -0.0972708
45.04, -0.6196, 0.0105001, -0.212867, -0.626542, -0.0975832
45.05, -0.622265, 0.00394025, -0.218216, -0.629248, -0.0978826
45.06, -0.62485, -0.00261826, -0.223535, -0.63187, -0.098169
45.07, -0.627353, -0.00917458, -0.228823, -0.634408, -0.0984424
45.08, -0.629774, -0.0157278, -0.234081, -0.636861, -0.0987027
45.09, -0.632114, -0.0222771, -0.239306, -0.639229, -0.0989498
45.1, -0.634371, -0.0288215, -0.244498, -0.641512, -0.0991838
45.11, -0.636546, -0.0353601, -0.249657, -0.643709, -0.0994046
45.12, -0.638638, -0.0418921, -0.254782, -0.64582, -0.0996122
45.13, -0.640647, -0.0484166, -0.259873, -0.647845, -0.0998065
45.14, -0.642573, -0.0549327, -0.264927, -0.649783, -0.0999875
45.15, -0.644415, -0.0614395, -0.269946, -0.651634, -0.100155
45.16, -0.646174, -0.0679362, -0.274928, -0.653398, -0.10031
45.17, -0.647848, -0.0744218, -0.279872, -0.655074, -0.100451
45.18, -0.649439, -0.0808955, -0.284778, -0.656663, -0.100578
45.19, -0.650944, -0.0873565, -0.289645, -0.658164, -0.100692
45.2, -0.652366, -0.0938038, -0.294473, -0.659577, -0.100793
45.21, -0.653702, -0.100237, -0.29926, -0.660901, -0.10088
45.22, -0.654953, -0.106654, -0.304007, -0.662137, -0.100954
45.23, -0.65612, -0.113055, -0.308713, -0.663284, -0.101015
45.24, -0.657201, -0.119439, -0.313376, -0.664342, -0.101061
45.25, -0.658196, -0.125806, -0.317997, -0.665311, -0.101095
45.26, -0.659106, -0.132153, -0.322575, -0.666191, -0.101115
45.27, -0.659931, -0.138481, -0.327108, -0.666981, -0.101121
